Timestamp,Nama,Usia saat ini,Siapa yang menyarankan Anda mengisi kuesioner ini?,Pada usia berapa Anda mengenal internet?,"Siapa yang memperkenalkan internet pertama kali kepada Anda? (dengan melihat, meniru, diajarkan langsung, dsb)",Apakah kamu pernah mengalami penyalahgunaan teknologi atau kejahatan internet?,"Jika pernah, penyalahgunaan teknologi atau kejahatan internet seperti apa yang kamu alami?","Jika pernah, di umur berapa Anda mengalaminya?",Menurut Anda seberapa parah penyalahgunaan teknologi atau kejahatan internet di Indonesia?,Menurut Anda seberapa penting adanya pendidikan digital di kalangan anak dan remaja?,Apakah peran orang tua dan guru dibutuhkan dalam pengenalan teknologi dan internet dengan baik kepada anak dan remaja?,Menurut Anda pendidikan digital model apa yang paling mudah diterima anak dan remaja?
23/05/2024 18:31:57,Ive****,> 18 Tahun,A,<=18 Tahun,Orang tua,Pernah,"Penipuan Online (Online Scam), Peretasan (Hacking), Phishing (Misal berbasis file.apk), Cracking (Peretasan perangkat lunak), Carding (Penyalahgunaan kartu kredit), Pemalsuan Data / Identitas",<=18 Tahun,5,5,Ya,Pembelajaran interaktif (memberikan game edukatif terkait teknologi dan internet)
23/05/2024 18:36:16,Alv****,> 18 Tahun,A,<=18 Tahun,Teman / Saudara,Pernah,"Penipuan Online (Online Scam), Carding (Penyalahgunaan kartu kredit)",<=18 Tahun,3,5,Ya,Pembelajaran interaktif (memberikan game edukatif terkait teknologi dan internet)
23/05/2024 18:36:19,Far****n,> 18 Tahun,A,<=18 Tahun,Orang tua,Pernah,"Penipuan Online (Online Scam), Peretasan (Hacking), Phishing (Misal berbasis file.apk), Cracking (Peretasan perangkat lunak), Pemalsuan Data / Identitas",<=18 Tahun,5,5,Mungkin,Pembelajaran proyek (memberikan studi kasus untuk memecahkan masalahnya)
23/05/2024 18:38:48,Ahm****a,> 18 Tahun,A,<=18 Tahun,Orang tua,Tidak Pernah,,,3,5,Ya,Pembelajaran proyek (memberikan studi kasus untuk memecahkan masalahnya)
23/05/2024 18:39:41,Aly****h,> 18 Tahun,A,<=18 Tahun,Teman / Saudara,Pernah,"Penipuan Online (Online Scam), Phishing (Misal berbasis file.apk)",<=18 Tahun,5,4,Ya,Pembelajaran interaktif (memberikan game edukatif terkait teknologi dan internet)
23/05/2024 18:44:21,raf****a,<= 18 Tahun,A,>18 Tahun,"Orang tua, Teman / Saudara",Tidak Pernah,,,4,5,Ya,Pembelajaran interaktif (memberikan game edukatif terkait teknologi dan internet)
23/05/2024 18:46:20,Faj****,> 18 Tahun,A,>18 Tahun,Orang tua,Tidak Pernah,,,4,5,Ya,Pembelajaran proyek (memberikan studi kasus untuk memecahkan masalahnya)
23/05/2024 18:46:41,Aye****a,> 18 Tahun,A,<=18 Tahun,Cari tau sendiri,Pernah,Penipuan Online (Online Scam),<=18 Tahun,4,5,Ya,Pembelajaran interaktif (memberikan game edukatif terkait teknologi dan internet)
23/05/2024 18:47:11,Fik****y,> 18 Tahun,A,<=18 Tahun,Teman / Saudara,Pernah,"Peretasan (Hacking), Cracking (Peretasan perangkat lunak)",<=18 Tahun,5,5,Ya,Pembelajaran interaktif (memberikan game edukatif terkait teknologi dan internet)
23/05/2024 18:56:42,Mel****h,> 18 Tahun,A,<=18 Tahun,Teman / Saudara,Pernah,,,5,5,Ya,Pemaparan materi (memberikan materi yang berfokus pada teknologi dan internet)
23/05/2024 18:57:24,Ath****,<= 18 Tahun,A,<=18 Tahun,Orang tua,Pernah,Peretasan (Hacking),<=18 Tahun,5,5,Mungkin,Pembelajaran interaktif (memberikan game edukatif terkait teknologi dan internet)
23/05/2024 18:59:34,Far****n,> 18 Tahun,A,>18 Tahun,"Orang tua, Teman / Saudara",Pernah,"Cracking (Peretasan perangkat lunak), Pemalsuan Data / Identitas",>18 Tahun,5,5,Ya,Pembelajaran interaktif (memberikan game edukatif terkait teknologi dan internet)
23/05/2024 19:01:29,Abi****i,> 18 Tahun,A,<=18 Tahun,Teman / Saudara,Pernah,"Peretasan (Hacking), Cracking (Peretasan perangkat lunak), Pemalsuan Data / Identitas",<=18 Tahun,5,5,Ya,Pembelajaran interaktif (memberikan game edukatif terkait teknologi dan internet)
23/05/2024 19:04:34,Int****i,> 18 Tahun,A,<=18 Tahun,"Orang tua, Teman / Saudara",Pernah,Penipuan Online (Online Scam),>18 Tahun,4,5,Ya,Pembelajaran interaktif (memberikan game edukatif terkait teknologi dan internet)
23/05/2024 19:12:34,Ni ****i,> 18 Tahun,A,<=18 Tahun,Orang tua,Pernah,Peretasan (Hacking),>18 Tahun,4,5,Ya,Pembelajaran interaktif (memberikan game edukatif terkait teknologi dan internet)
23/05/2024 19:12:44,rah****l,> 18 Tahun,A,<=18 Tahun,"Orang tua, Teman / Saudara",Pernah,Peretasan (Hacking),<=18 Tahun,5,5,Ya,Pembelajaran interaktif (memberikan game edukatif terkait teknologi dan internet)
23/05/2024 19:13:29,Nor****i,> 18 Tahun,A,<=18 Tahun,Teman / Saudara,Pernah,Penipuan Online (Online Scam),>18 Tahun,4,5,Ya,Pembelajaran interaktif (memberikan game edukatif terkait teknologi dan internet)
23/05/2024 19:16:59,Lut****o,> 18 Tahun,A,<=18 Tahun,"Orang tua, Teman / Saudara",Pernah,Phishing (Misal berbasis file.apk),<=18 Tahun,3,5,Ya,Pembelajaran interaktif (memberikan game edukatif terkait teknologi dan internet)
23/05/2024 19:21:48,Muh****,> 18 Tahun,A,<=18 Tahun,"Orang tua, Teman / Saudara",Pernah,Phishing (Misal berbasis file.apk),<=18 Tahun,4,5,Ya,Pembelajaran interaktif (memberikan game edukatif terkait teknologi dan internet)
23/05/2024 19:24:23,Nur****n,> 18 Tahun,A,<=18 Tahun,Teman / Saudara,Tidak Pernah,,,2,4,Ya,Pembelajaran interaktif (memberikan game edukatif terkait teknologi dan internet)
23/05/2024 19:27:13,Fik****z,<= 18 Tahun,A,>18 Tahun,Teman / Saudara,Pernah,Penipuan Online (Online Scam),>18 Tahun,4,5,Ya,Pembelajaran interaktif (memberikan game edukatif terkait teknologi dan internet)
23/05/2024 19:29:37,Nur****,> 18 Tahun,A,<=18 Tahun,Teman / Saudara,Pernah,"Peretasan (Hacking), Phishing (Misal berbasis file.apk)",<=18 Tahun,5,5,Ya,Pembelajaran interaktif (memberikan game edukatif terkait teknologi dan internet)
23/05/2024 19:31:19,Muh****a,> 18 Tahun,A,<=18 Tahun,Teman / Saudara,Tidak Pernah,,,5,5,Ya,Pembelajaran interaktif (memberikan game edukatif terkait teknologi dan internet)
23/05/2024 19:34:34,Muh****m,> 18 Tahun,A,<=18 Tahun,Orang tua,Tidak Pernah,,,5,5,Ya,Pembelajaran proyek (memberikan studi kasus untuk memecahkan masalahnya)
